"Individual","full_path","haplogroup"
"NA21107","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"NA21108","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"NA21109","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA21110","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA21111","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"NA21112","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV","HV"
"NA21113","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"NA21114","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA21115","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA21116","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"NA21117","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"NA21118","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3","L3"
